"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF782",0,0.358443450413014,0.264,0.08,0,"8","ZNF782"
"TRAPPC121",0,0.35836922825521,0.367,0.185,0,"8","TRAPPC12"
"FZD6",0,0.358134564654677,0.354,0.166,0,"8","FZD6"
"FAM193B1",0,0.357757614197648,0.345,0.137,0,"8","FAM193B"
"TTC281",0,0.355936494757216,0.359,0.152,0,"8","TTC28"
"TMEM260",0,0.354813135885372,0.293,0.117,0,"8","TMEM260"
"INF2",0,0.354532942346502,0.372,0.187,0,"8","INF2"
"DCAKD",0,0.354492824182379,0.346,0.162,0,"8","DCAKD"
"EPHX21",0,0.354246988970877,0.34,0.155,0,"8","EPHX2"
"L2HGDH1",0,0.354096223678564,0.324,0.126,0,"8","L2HGDH"
"SUFU",0,0.353886375648654,0.276,0.092,0,"8","SUFU"
"XPO61",0,0.353819783288061,0.431,0.235,0,"8","XPO6"
"ATF7IP21",0,0.353542255844026,0.327,0.153,0,"8","ATF7IP2"
"AFAP1",0,0.353443256170226,0.264,0.093,0,"8","AFAP1"
"MPHOSPH9",0,0.35318180655982,0.263,0.091,0,"8","MPHOSPH9"
"MAP3K7CL",0,0.353037439879287,0.255,0.083,0,"8","MAP3K7CL"
"TADA2A",0,0.353031502487263,0.255,0.081,0,"8","TADA2A"
"TRMT1L",0,0.352947500219381,0.281,0.123,0,"8","TRMT1L"
"UQCC11",0,0.352597680016309,0.34,0.144,0,"8","UQCC1"
"MTM1",0,0.352166058616586,0.286,0.12,0,"8","MTM1"
"MAPK8IP3",0,0.351173286477292,0.335,0.129,0,"8","MAPK8IP3"
"LINC01138",0,0.350779739628974,0.286,0.083,0,"8","LINC01138"
"NTF31",0,0.349284393850767,0.313,0.141,0,"8","NTF3"
"NVL",0,0.3480312223652,0.286,0.109,0,"8","NVL"
"SLC20A21",0,0.347938104376008,0.563,0.342,0,"8","SLC20A2"
"TRAPPC11",0,0.347532249530929,0.315,0.136,0,"8","TRAPPC11"
"ANAPC4",0,0.347410630561143,0.314,0.135,0,"8","ANAPC4"
"ABCB7",0,0.346693401818452,0.341,0.163,0,"8","ABCB7"
"ADSS2",0,0.345951753765322,0.316,0.118,0,"8","ADSS2"
"TCAIM",0,0.345756544858003,0.273,0.119,0,"8","TCAIM"
"AJAP11",0,0.345458002152404,0.259,0.063,0,"8","AJAP1"
"CEP83",0,0.345329773763437,0.27,0.113,0,"8","CEP83"
"ADGRA31",0,0.345100051866351,0.303,0.108,0,"8","ADGRA3"
"GOLGA8A2",0,0.34461932283674,0.436,0.192,0,"8","GOLGA8A"
"INTS8",0,0.343215932168943,0.298,0.127,0,"8","INTS8"
"SLC37A3",0,0.343164099933272,0.309,0.137,0,"8","SLC37A3"
"INTS6L",0,0.34298234596363,0.272,0.107,0,"8","INTS6L"
"ATP11A",0,0.342827135645348,0.3,0.12,0,"8","ATP11A"
"SLC27A1",0,0.341918851528212,0.262,0.092,0,"8","SLC27A1"
"AC092683.11",0,0.341759863670817,0.292,0.06,0,"8","AC092683.1"
"ZNF2542",0,0.341535133164965,0.373,0.188,0,"8","ZNF254"
"ZNF675",0,0.34099970588085,0.306,0.138,0,"8","ZNF675"
"MCM9",0,0.338897347367175,0.258,0.095,0,"8","MCM9"
"EPS15L12",0,0.33870878836068,0.349,0.162,0,"8","EPS15L1"
"PLEKHM3",0,0.337885085595802,0.26,0.088,0,"8","PLEKHM3"
"DMXL2",0,0.33772143263807,0.251,0.082,0,"8","DMXL2"
"RAD54L2",0,0.336239779180244,0.279,0.122,0,"8","RAD54L2"
"ABCA51",0,0.335880818259413,0.57,0.362,0,"8","ABCA5"
"EIPR1",0,0.334996838170237,0.285,0.124,0,"8","EIPR1"
"LRRK11",0,0.334879399423566,0.294,0.124,0,"8","LRRK1"
"ALS2",0,0.334571036986336,0.274,0.105,0,"8","ALS2"
"DAB2IP",0,0.331978794343414,0.302,0.127,0,"8","DAB2IP"
"DNHD1",0,0.33162290178934,0.278,0.098,0,"8","DNHD1"
"ZNF33B",0,0.331064146825077,0.28,0.115,0,"8","ZNF33B"
"B3GALNT2",0,0.330574927194305,0.33,0.151,0,"8","B3GALNT2"
"LINC00886",0,0.330370967132757,0.25,0.095,0,"8","LINC00886"
"ANKRD36C",0,0.330214816300945,0.268,0.084,0,"8","ANKRD36C"
"KIAA0556",0,0.329707198364746,0.307,0.114,0,"8","KIAA0556"
"LPIN11",0,0.329156767728568,0.408,0.206,0,"8","LPIN1"
"PRPF39",0,0.327827226711654,0.336,0.157,0,"8","PRPF39"
"WWP21",0,0.327467121783728,0.338,0.159,0,"8","WWP2"
"AC090114.3",0,0.325765438893872,0.268,0.071,0,"8","AC090114.3"
"DOCK31",0,0.323917707334602,0.469,0.175,0,"8","DOCK3"
"MINDY3",0,0.323139097268562,0.284,0.126,0,"8","MINDY3"
"NOTCH1",0,0.321907871693303,0.272,0.117,0,"8","NOTCH1"
"PAQR7",0,0.321054263552652,0.284,0.116,0,"8","PAQR7"
"INTS9",0,0.320716975776485,0.258,0.094,0,"8","INTS9"
"NPRL3",0,0.320379786357453,0.277,0.113,0,"8","NPRL3"
"NUP133",0,0.319864851948638,0.286,0.124,0,"8","NUP133"
"PIGU",0,0.319840164821322,0.291,0.116,0,"8","PIGU"
"NAPB1",0,0.319087822057745,0.308,0.122,0,"8","NAPB"
"GSAP",0,0.318775697656795,0.26,0.098,0,"8","GSAP"
"GNPAT",0,0.318658320405246,0.309,0.142,0,"8","GNPAT"
"YEATS21",0,0.317388596353536,0.328,0.117,0,"8","YEATS2"
"NHLRC3",0,0.317295647565834,0.304,0.136,0,"8","NHLRC3"
"TARBP1",0,0.317224715617257,0.268,0.097,0,"8","TARBP1"
"VPS39",0,0.317156778631075,0.317,0.144,0,"8","VPS39"
"ELMOD3",0,0.316727775389053,0.299,0.125,0,"8","ELMOD3"
"DCUN1D2",0,0.315982810745345,0.261,0.095,0,"8","DCUN1D2"
"TAMM41",0,0.31547987955759,0.258,0.095,0,"8","TAMM41"
"STRADB",0,0.31530470534798,0.275,0.113,0,"8","STRADB"
"RBM41",0,0.314519540927548,0.268,0.105,0,"8","RBM41"
"NACC2",0,0.313492889005461,0.274,0.114,0,"8","NACC2"
"CEP295",0,0.311349967726747,0.255,0.095,0,"8","CEP295"
"ARL17B",0,0.310708020647662,0.254,0.092,0,"8","ARL17B"
"TBC1D9",0,0.310585029176904,0.251,0.095,0,"8","TBC1D9"
"INPPL1",0,0.310213350317626,0.274,0.108,0,"8","INPPL1"
"SLC37A11",0,0.309850849997452,0.345,0.152,0,"8","SLC37A1"
"AC132008.2",0,0.309576810017079,0.28,0.078,0,"8","AC132008.2"
"ELP1",0,0.308836197994512,0.274,0.112,0,"8","ELP1"
"ZNF441",0,0.308783715424132,0.366,0.175,0,"8","ZNF44"
"ZNF780B",0,0.308665303204564,0.265,0.09,0,"8","ZNF780B"
"TUBGCP5",0,0.307483967998115,0.254,0.103,0,"8","TUBGCP5"
"PSME3IP1",0,0.305302079832008,0.262,0.085,0,"8","PSME3IP1"
"NDE1",0,0.304480863850287,0.266,0.11,0,"8","NDE1"
"CTPS2",0,0.302271681621409,0.25,0.088,0,"8","CTPS2"
"SFI1",0,0.301880083045844,0.284,0.106,0,"8","SFI1"
"CABIN11",0,0.299506390575706,0.297,0.122,0,"8","CABIN1"
"COL28A11",0,0.299086502133967,0.277,0.096,0,"8","COL28A1"
"SS18L1",0,0.298965862820701,0.287,0.119,0,"8","SS18L1"
"BTD",0,0.298633217599154,0.264,0.111,0,"8","BTD"
"ZNF717",0,0.297646014887568,0.269,0.105,0,"8","ZNF717"
"TIAM21",0,0.29721563724119,0.316,0.134,0,"8","TIAM2"
"COG7",0,0.296109030428682,0.295,0.127,0,"8","COG7"
"ANO9",0,0.295941179141929,0.264,0.097,0,"8","ANO9"
"SETDB1",0,0.294806602933579,0.289,0.124,0,"8","SETDB1"
"FLYWCH1",0,0.291703809925162,0.259,0.106,0,"8","FLYWCH1"
"NT5C21",0,0.28963201949443,0.641,0.367,0,"8","NT5C2"
"INTS3",0,0.287253643257863,0.309,0.141,0,"8","INTS3"
"ZNF708",0,0.285484260728628,0.252,0.094,0,"8","ZNF708"
"NARS1",0,0.282027577643258,0.273,0.101,0,"8","NARS1"
"KLF81",0,0.281801641009405,0.29,0.126,0,"8","KLF8"
"TUG1",0,0.277937880622424,0.289,0.123,0,"8","TUG1"
"RASAL1",0,0.274434824340286,0.255,0.09,0,"8","RASAL1"
"LRP51",0,0.274013800969369,0.266,0.106,0,"8","LRP5"
